AUTHOR_KEY,AFFILIATION_REGION,HINDEX_OA,CITATIONS_OA,WORKS_COUNT_OA
oa:A5011388287,Outside Africa,40,11639,341
oa:A5068063896,Outside Africa,40,6544,293
oa:A5007033764,Outside Africa,40,7372,320
oa:A5051230101,Outside Africa,40,5582,229
oa:A5075275684,Outside Africa,39,5919,234
oa:A5085732379,Outside Africa,39,6078,398
oa:A5106078714,Outside Africa,39,5140,247
oa:A5085486382,Outside Africa,39,7955,266
oa:A5073563815,Africa,39,3582,94
oa:A5018204418,Outside Africa,39,5458,116
oa:A5042196931,Outside Africa,39,6680,177
oa:A5057591353,Outside Africa,39,5300,216
oa:A5016823997,Outside Africa,39,6515,361
oa:A5064264671,Outside Africa,39,4998,196
oa:A5061600756,Outside Africa,39,7009,144
oa:A5058631355,Outside Africa,39,4486,173
oa:A5055617887,Outside Africa,39,5885,208
oa:A5100688431,Outside Africa,39,10178,240
oa:A5016868878,Outside Africa,39,5138,121
oa:A5100457513,Outside Africa,39,4550,194
oa:A5019493583,Outside Africa,39,5621,178
oa:A5027711194,Outside Africa,39,8605,234
oa:A5073032257,Outside Africa,39,10166,201
oa:A5115694897,Outside Africa,39,14056,582
oa:A5045766768,Outside Africa,39,7856,518
oa:A5090452966,Africa,39,12197,253
oa:A5075648445,Africa,39,5309,147
oa:A5068555962,Africa,38,6494,268
oa:A5026468035,Africa,38,4427,331
oa:A5045919427,Outside Africa,38,4455,158
oa:A5018471795,Outside Africa,38,4462,244
oa:A5028128458,Outside Africa,38,6693,275
oa:A5044055959,Outside Africa,38,4899,223
oa:A5056475905,Outside Africa,38,9321,148
oa:A5090146164,Outside Africa,38,6142,228
oa:A5001819965,Outside Africa,38,10782,350
oa:A5054713356,Outside Africa,38,4718,232
oa:A5032240816,Outside Africa,38,4657,337
oa:A5022083407,Outside Africa,38,6270,260
oa:A5015881286,Outside Africa,38,7431,227
oa:A5028765767,Outside Africa,38,8109,201
oa:A5003428654,Outside Africa,38,5083,207
oa:A5068330447,Outside Africa,38,5802,176
oa:A5055279410,Outside Africa,38,6758,206
oa:A5056381174,Outside Africa,38,7410,190
oa:A5039560708,Outside Africa,38,5162,299
oa:A5036173588,Africa,37,2868,108
oa:A5022848356,Outside Africa,37,4428,354
oa:A5018040982,Outside Africa,37,4278,147
oa:A5066637855,Africa,37,3970,181
oa:A5009286480,Outside Africa,37,5069,198
oa:A5087302488,Outside Africa,37,3757,116
oa:A5070682362,Outside Africa,37,4424,215
oa:A5003393701,Outside Africa,37,6069,271
oa:A5007232302,Outside Africa,37,5602,380
oa:A5049346464,Outside Africa,37,4701,165
oa:A5055539504,Africa,37,4306,166
oa:A5119607115,Outside Africa,37,14553,198
oa:A5101423132,Africa,37,5095,348
oa:A5036525234,Outside Africa,37,27479,101
oa:A5058570485,Outside Africa,37,13158,230
oa:A5028393414,Africa,37,2751,159
oa:A5101526817,Outside Africa,37,5196,356
oa:A5006131395,Outside Africa,37,6096,678
oa:A5045284879,Outside Africa,37,4790,168
oa:A5016391921,Africa,37,4434,218
oa:A5014129699,Outside Africa,37,5048,207
oa:A5062182983,Outside Africa,37,6428,125
oa:A5051865395,Africa,37,4744,267
oa:A5009340165,Outside Africa,37,4652,243
oa:A5079601750,Africa,37,4653,257
oa:A5032847929,Africa,37,4350,221
oa:A5065777006,Outside Africa,37,4595,170
oa:A5044977022,Outside Africa,36,4290,201
oa:A5026774753,Outside Africa,36,3731,120
oa:A5020878438,Africa,36,5585,292
oa:A5083620416,Outside Africa,36,5320,380
oa:A5081161599,Outside Africa,36,4517,128
oa:A5101854921,Outside Africa,36,4212,125
oa:A5080702174,Africa,36,4247,307
oa:A5085915629,Africa,36,4038,324
oa:A5103214435,Outside Africa,36,4826,421
oa:A5075183774,Outside Africa,36,4776,391
oa:A5053817238,Africa,36,4720,113
oa:A5047670000,Outside Africa,36,6637,226
oa:A5048844030,Outside Africa,36,4306,283
oa:A5100326815,Outside Africa,36,5474,154
oa:A5068408773,Africa,36,8962,157
oa:A5068566676,Outside Africa,36,4529,135
oa:A5044894891,Outside Africa,36,7313,136
oa:A5100760396,Outside Africa,36,4915,227
oa:A5088197828,Outside Africa,36,21452,176
oa:A5090460868,Africa,36,4474,330
oa:A5084018986,Africa,36,4357,203
oa:A5011098367,Africa,36,3352,149
oa:A5053346690,Outside Africa,36,4278,153
oa:A5039127314,Africa,36,3323,159
oa:A5009628160,Africa,36,6131,261
oa:A5071210086,Outside Africa,36,5107,186
oa:A5036564913,Outside Africa,36,4860,232
oa:A5011987817,Outside Africa,36,5493,122
oa:A5050600083,Outside Africa,36,7278,101
oa:A5107902438,Outside Africa,36,9004,85
oa:A5036212949,Outside Africa,35,7659,80
oa:A5021198709,Africa,35,4918,387
oa:A5023246930,Outside Africa,35,5055,231
oa:A5044730658,Outside Africa,35,4147,194
oa:A5041878024,Outside Africa,35,11782,467
oa:A5055880393,Outside Africa,35,4618,293
oa:A5046397615,Outside Africa,35,5166,269
oa:A5089771051,Outside Africa,35,3841,363
oa:A5058789705,Outside Africa,35,8988,140
oa:A5059129599,Africa,35,4184,315
oa:A5029152785,Outside Africa,35,4195,213
oa:A5021159901,Africa,35,3690,95
oa:A5103363374,Outside Africa,35,5841,105
oa:A5049713908,Outside Africa,35,3806,314
oa:A5031835507,Outside Africa,35,10756,279
oa:A5038656736,Africa,35,6709,169
oa:A5033317672,Outside Africa,35,4299,364
oa:A5101798745,Outside Africa,35,4749,178
oa:A5045635838,Outside Africa,35,5417,212
oa:A5006292320,Outside Africa,35,3854,94
oa:A5054788629,Outside Africa,35,6492,144
oa:A5015421254,Africa,35,4421,215
oa:A5012611081,Outside Africa,35,5346,164
oa:A5032840064,Outside Africa,35,3283,85
oa:A5021988081,Outside Africa,35,4529,235
oa:A5011329397,Africa,35,4221,256
oa:A5019954294,Outside Africa,34,5306,257
oa:A5026647360,Outside Africa,34,7812,161
oa:A5001499305,Outside Africa,34,4589,125
oa:A5002543406,Outside Africa,34,3308,137
oa:A5084731651,Africa,34,3420,106
